Exchange,Coin,Regime,Avg Premium (bps),Std Premium (bps),Min (bps),Max (bps),N (minutes)
Binance,USDC/USD,Pre-Crisis (Mar 1–9),-0.2046,3.6814,-32.3174,34.0537,12960
Binance,USDC/USD,Crisis (Mar 10–14),-197.0362,268.6913,-1251.2423,65.2875,7200
Binance,USDC/USD,Recovery (Mar 15–21),-3.9413,9.3408,-61.6322,50.2217,10080
Binance,USDT/USD,Pre-Crisis (Mar 1–9),0.1132,2.0872,-30.6158,25.0534,12960
Binance,USDT/USD,Crisis (Mar 10–14),46.1724,35.5024,-9.5392,165.877,7200
Binance,USDT/USD,Recovery (Mar 15–21),27.5237,9.5715,-18.5003,75.6462,10080
Coinbase,USDT/USD,Pre-Crisis (Mar 1–9),0.2023,2.6613,-56.1625,29.9994,12960
Coinbase,USDT/USD,Crisis (Mar 10–14),43.9477,83.6333,-742.1103,187.6887,7200
Coinbase,USDT/USD,Recovery (Mar 15–21),21.2692,57.3953,-361.2241,214.8261,10080
Binance,USDT/USDC,Pre-Crisis (Mar 1–9),0.3191,3.8155,-35.9768,30.9098,12960
Binance,USDT/USDC,Crisis (Mar 10–14),256.6995,314.9625,-38.8311,1504.4689,7200
Binance,USDT/USDC,Recovery (Mar 15–21),31.4846,12.2117,-20.3997,88.1951,10080
